Ticker,Groups,Current Price,Setup Type,Key Support,Key Resistance,Analyst Support,Buy Limit Order,Trailing Stop,Take Profit,Reward/Risk,Setup Status,Setup Score,Setup Score Breakdown,Evidence Score,Evidence Score Breakdown
LITE,AI Networking / Interconnects,$829.70,Pullback at recent support,$812.80,"$1,085.68",N/A,Place buy limit at $821.25,Use $99.56 trailing stop / 12.0%; initial invalidation below $759.50,"Take profit at $1,085.68",4.28,Ready / near buy zone,74,SS=74; EP=22; SQ=15; RR=20; TS=10; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
SMR,AI Nuclear / Power / Utilities,$8.68,Pullback at recent support,$8.64,$57.42,N/A,Place buy limit at $8.68,Use $1.04 trailing stop / 12.0%; initial invalidation below $8.10,Take profit at $57.42,83.50,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
OKLO,AI Nuclear / Power / Utilities,$44.50,Pullback at recent support,$44.16,$193.84,N/A,Place buy limit at $44.50,Use $5.34 trailing stop / 12.0%; initial invalidation below $41.46,Take profit at $193.84,49.20,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
ORCL,Cloud Providers / Hyperscalers,$125.84,Pullback at recent support,$124.70,$343.01,N/A,Place buy limit at $125.84,Use $13.36 trailing stop / 10.6%; initial invalidation below $119.35,Take profit at $343.01,33.48,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CCI,AI Data Center Operators / REITs,$77.50,Pullback at recent support,$77.32,$110.45,N/A,Place buy limit at $77.50,Use $4.12 trailing stop / 5.3%; initial invalidation below $75.67,Take profit at $110.45,18.01,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
MSFT,Cloud Providers / Hyperscalers,$390.34,Pullback at recent support,$389.65,$551.05,N/A,Place buy limit at $390.34,Use $21.55 trailing stop / 5.5%; initial invalidation below $381.03,Take profit at $551.05,17.26,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
AMT,AI Data Center Operators / REITs,$166.06,Pullback at recent support,$165.44,$225.61,N/A,Place buy limit at $166.06,Use $7.47 trailing stop / 4.5%; initial invalidation below $162.59,Take profit at $225.61,17.17,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
FLNC,"AI Power, Grid & Electrification — Storage / flexible grid",$14.66,Pullback at recent support,$14.63,$33.51,N/A,Place buy limit at $14.66,Use $1.76 trailing stop / 12.0%; initial invalidation below $13.46,Take profit at $33.51,15.73,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CCJ,AI Nuclear / Power / Utilities,$90.37,Pullback at recent support,$89.86,$135.24,N/A,Place buy limit at $90.37,Use $7.75 trailing stop / 8.6%; initial invalidation below $86.76,Take profit at $135.24,12.41,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
SBAC,AI Data Center Operators / REITs,$178.02,Pullback at recent support,$177.33,$237.56,N/A,Place buy limit at $178.02,Use $10.83 trailing stop / 6.1%; initial invalidation below $173.00,Take profit at $237.56,11.85,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
BWXT,AI Nuclear / Power / Utilities,$175.17,Pullback at recent support,$174.99,$241.50,N/A,Place buy limit at $175.17,Use $14.68 trailing stop / 8.4%; initial invalidation below $169.12,Take profit at $241.50,10.96,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
APLD,AI Miners / HPC Hosting,$30.08,Pullback at recent support,$29.93,$50.72,N/A,Place buy limit at $30.08,Use $3.61 trailing stop / 12.0%; initial invalidation below $27.84,Take profit at $50.72,9.21,Ready / near buy zone,70,SS=70; EP=25; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
ANET,AI Networking / Interconnects,$174.87,Pullback at recent support,$172.10,$189.82,N/A,Place buy limit at $173.49,Use $20.98 trailing stop / 12.0%; initial invalidation below $163.54,Take profit at $189.82,1.64,Avoid for now,70,SS=70; EP=25; SQ=20; RR=0; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
IREN,AI Miners / HPC Hosting,$41.28,Pullback at recent support,$40.34,$76.87,N/A,Place buy limit at $40.81,Use $4.95 trailing stop / 12.0%; initial invalidation below $37.10,Take profit at $76.87,9.71,Ready / near buy zone,67,SS=67; EP=22; SQ=15; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
D,"AI Power, Grid & Electrification — Utilities / steadier exposure; AI Nuclear / Power / Utilities",$71.09,Pullback at recent support,$70.93,$72.99,N/A,Place buy limit at $71.09,Use $3.20 trailing stop / 4.5%; initial invalidation below $69.98,Take profit at $72.99,1.71,Avoid for now,65,SS=65; EP=25; SQ=15; RR=0; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
MRVL,AI Chips / Semiconductors,$210.99,Pullback at recent support,$202.84,$329.88,N/A,Place buy limit at $202.84,Use $25.32 trailing stop / 12.0%; initial invalidation below $188.04,Take profit at $329.88,8.58,Wait for pullback,62,SS=62; EP=12; SQ=10; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
AMD,AI Chips / Semiconductors,$552.33,Pullback at recent support,$546.77,$584.73,N/A,Place buy limit at $549.55,Use $66.28 trailing stop / 12.0%; initial invalidation below $515.84,Take profit at $584.73,1.04,Avoid for now,62,SS=62; EP=25; SQ=15; RR=0; TS=15; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
DELL,AI Systems & Servers,$441.80,Pullback at recent support,$441.51,$469.47,N/A,Place buy limit at $441.80,Use $53.02 trailing stop / 12.0%; initial invalidation below $414.52,Take profit at $469.47,1.01,Avoid for now,62,SS=62; EP=25; SQ=15; RR=0; TS=15; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
ALGEF,AI Nuclear / Power / Utilities,$0.04,Pullback at recent support,$0.04,$0.05,N/A,Place buy limit at $0.04,Use $0.00 trailing stop / 12.0%; initial invalidation below $0.03,Take profit at $0.05,5.66,Too extended,57,SS=57; EP=12; SQ=10; RR=20; TS=15; AS=0; ER=0,70,ES=70; PD=20; SR=15; MA=15; AD=0; TM=20; RG=0
ALAB,AI Networking / Interconnects,$330.89,Pullback at recent support,$313.85,$499.48,N/A,Place buy limit at $313.85,Use $39.71 trailing stop / 12.0%; initial invalidation below $282.49,Take profit at $499.48,5.92,Wait for pullback,56,SS=56; EP=6; SQ=10; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
